SimulationTime,Episode,Step,TotalVehicles,VehiclesWaiting,QueueLength,CumulativeReward,CurrentReward,CurrentPhase,GreenLightTime,FuelConsumed,AverageWaitTime
4475.51,150,8,535,1,1,0,56.25034,0,40,0,0
4485.51,150,11,536,1,1,0,56.25034,0,40,0,0
4495.51,150,14,538,2,2,0,56.25034,0,40,0,0
4505.51,151,1,539,1,1,0,62.5,1,20,0,0
4515.51,151,9,540,2,2,0,62.5,1,20,0,0
4525.51,152,1,541,3,3,0,75,2,24,0,0
4535.51,152,7,542,4,4,0,75,2,24,0,0
4545.51,152,12,543,5,5,0,75,2,24,0,0
4555.51,153,2,545,4,4,0,56.25034,0,40,0,0
4565.51,153,9,546,1,1,0,56.25034,0,40,0,0
4575.51,153,12,547,1,1,0,56.25034,0,40,0,0
4585.51,153,15,549,2,2,0,56.25034,0,40,0,0
4595.51,154,2,550,2,2,0,62.5,1,11,0,0
4605.51,155,4,551,3,3,0,74.99908,2,30,0,0
4615.51,155,8,553,2,2,0,74.99908,2,30,0,0
4625.51,155,13,554,3,3,0,74.99908,2,30,0,0
4635.51,156,2,555,4,4,0,66.66666,0,40,0,0
4645.51,156,7,557,2,2,0,66.66666,0,40,0,0
4655.51,156,15,558,1,1,0,66.66666,0,40,0,0
4665.51,156,17,559,1,1,0,66.66666,0,40,0,0
4675.51,157,1,560,1,1,0,62.5,1,20,0,0
4685.51,157,9,562,3,3,0,62.5,1,20,0,0
4695.51,158,1,563,4,4,0,75,2,30,0,0
4705.51,158,6,565,5,5,0,75,2,30,0,0
4715.51,158,10,566,6,6,0,75,2,30,0,0
4725.51,159,1,567,7,7,0,66.66666,0,40,0,0
4735.51,159,5,569,2,2,0,66.66666,0,40,0,0
4745.51,159,12,570,1,1,0,66.66666,0,40,0,0
4755.51,159,14,571,1,1,0,66.66666,0,40,0,0
4765.51,160,1,573,2,2,0,62.5,1,20,0,0
4775.51,160,6,574,3,3,0,62.5,1,20,0,0
4785.51,161,1,575,4,4,0,50,2,30,0,0
4795.51,161,4,576,5,5,0,50,2,30,0,0
4805.51,161,7,577,6,6,0,50,2,30,0,0
4815.51,162,1,578,7,7,0,66.66666,0,40,0,0
4825.51,162,4,580,2,2,0,66.66666,0,40,0,0
4835.51,162,10,581,1,1,0,66.66666,0,40,0,0
4845.51,162,13,582,1,1,0,66.66666,0,40,0,0
