Step,Episode,TotalVehicles,VehiclesWaiting,SimulationTime
777,26,298,7,2496.382
778,26,298,7,2499.716
779,26,298,5,2503.049
780,26,299,3,2506.382
781,27,299,1,2509.716
782,27,299,1,2513.049
783,27,300,1,2516.382
784,27,300,1,2519.716
785,27,301,2,2523.049
786,27,301,1,2526.382
787,27,302,2,2529.716
788,27,302,2,2533.049
789,27,302,2,2536.382
790,27,303,3,2539.716
791,27,303,3,2543.049
792,27,303,3,2546.382
793,27,304,4,2549.716
794,27,304,4,2553.049
795,27,305,5,2556.382
796,27,305,5,2559.716
797,27,305,5,2563.049
798,27,306,6,2566.382
799,27,306,6,2569.716
800,27,306,6,2573.049
801,27,307,7,2576.382
802,27,307,7,2579.716
803,27,307,7,2583.049
804,27,308,8,2586.382
805,27,308,8,2589.716
806,27,308,5,2593.049
807,27,309,3,2596.382
808,27,309,1,2599.716
809,27,309,1,2603.049
810,27,310,1,2606.382
811,28,310,1,2609.716
812,28,311,2,2613.049
813,28,311,1,2616.382
814,28,311,1,2619.716
815,28,312,2,2623.049
816,28,312,2,2626.382
817,28,313,3,2629.716
818,28,313,3,2633.049
819,28,314,4,2636.382
820,28,314,4,2639.716
821,28,315,5,2643.049
822,28,315,5,2646.382
823,28,316,6,2649.716
824,28,316,6,2653.049
825,28,317,7,2656.382
826,28,317,7,2659.716
827,28,317,7,2663.049
828,28,318,8,2666.382
829,28,318,8,2669.716
830,28,318,8,2673.049
831,28,319,9,2676.382
832,28,319,9,2679.716
833,28,320,6,2683.049
834,28,320,3,2686.382
835,28,320,1,2689.716
836,28,321,1,2693.049
837,28,321,1,2696.382
838,28,322,2,2699.716
839,28,322,1,2703.049
840,28,322,1,2706.382
841,29,323,1,2709.716
842,29,323,1,2713.049
843,29,323,1,2716.382
844,29,324,2,2719.716
845,29,324,2,2723.049
846,29,325,3,2726.382
847,29,325,3,2729.716
848,29,326,4,2733.049
849,29,326,4,2736.382
850,29,327,5,2739.716
851,29,327,4,2743.049
852,29,327,4,2746.382
853,29,328,5,2749.716
854,29,328,5,2753.049
855,29,328,5,2756.382
856,29,329,6,2759.716
857,29,329,6,2763.049
858,29,329,6,2766.382
859,29,330,7,2769.716
860,29,330,3,2773.049
861,29,331,2,2776.382
